date,closing,adjusted,evolution,quantity,volume
20/01/2021,67100,67100,015,110,74039
19/01/2021,67000,67000,000,15601,10452670
18/01/2021,67000,67000,308,2053,1325510
15/01/2021,65000,65000,078,50,32500
14/01/2021,64500,64500,078,5729,36715877
13/01/2021,64000,64000,159,2505,16031445
12/01/2021,63000,63000,156,2800,1764000
08/01/2021,62030,62030,003,3115,19623045
07/01/2021,62010,62010,083,268,1661868
06/01/2021,61500,61500,-081,215,1323044
05/01/2021,62000,62000,-282,1400,868000
04/01/2021,63800,63800,000,0,0
31/12/2020,63800,63800,302,10000,6380000
30/12/2020,61930,61930,-398,348,2155949
29/12/2020,64500,64500,000,0,0
28/12/2020,64500,64500,370,10,6450
25/12/2020,62200,62200,-386,4467,27786745
24/12/2020,64700,64700,-122,66,43799
23/12/2020,65500,65500,210,22613,146950154
22/12/2020,64150,64150,358,3047,1915713
21/12/2020,61930,61930,-398,1895,11792526
18/12/2020,64500,64500,000,2135,13755424
17/12/2020,64500,64500,320,5350,3412750
16/12/2020,62500,62500,000,0,0
15/12/2020,62500,62500,-277,2602,1626250
14/12/2020,64280,64280,-034,2550,1638500
11/12/2020,64500,64500,062,2000,1290000
10/12/2020,64100,64100,339,4360,2714750
09/12/2020,62000,62000,000,36,22320
08/12/2020,62000,62000,-048,6621,4105068
07/12/2020,62300,62300,196,52,32396
04/12/2020,61100,61100,000,164,100204
03/12/2020,61100,61100,-065,88,538533
02/12/2020,61500,61500,000,46,28295
01/12/2020,61500,61500,-081,306,188933
30/11/2020,62000,62000,000,0,0
27/11/2020,62000,62000,-343,721,447053
26/11/2020,64200,64200,207,5056,31867505
25/11/2020,62900,62900,-032,20242,126784824
24/11/2020,63100,63100,395,759,4671958
23/11/2020,60700,60700,-130,7073,4357948
20/11/2020,61500,61500,250,18730,11482478
19/11/2020,60000,60000,-164,1322,7932303
17/11/2020,61000,61000,000,354,215724
16/11/2020,61000,61000,000,224,136640
13/11/2020,61000,61000,018,940,573400
12/11/2020,60890,60890,000,0,0
11/11/2020,60890,60890,000,0,0
10/11/2020,60890,60890,-002,3,18267
09/11/2020,60900,60900,322,253,151598
05/11/2020,59000,59000,000,0,0
04/11/2020,59000,59000,-067,1,590
03/11/2020,59400,59400,000,0,0
02/11/2020,59400,59400,000,2,1188
28/10/2020,59400,59400,000,0,0
27/10/2020,59400,59400,154,203,121382
26/10/2020,58500,58500,-168,23146,13540671
23/10/2020,59500,59500,171,200,119000
22/10/2020,58500,58500,105,2119,1238901
21/10/2020,57890,57890,042,10,5789
20/10/2020,57650,57650,-060,1633,9414245
19/10/2020,58000,58000,000,80,46000
16/10/2020,58000,58000,000,0,0
15/10/2020,58000,58000,175,6024,34939116
14/10/2020,57000,57000,179,1000,570000
13/10/2020,56000,56000,219,252,141120
12/10/2020,54800,54800,000,0,0
09/10/2020,54800,54800,000,0,0
08/10/2020,54800,54800,000,592,3243528
07/10/2020,54800,54800,000,0,0
06/10/2020,54800,54800,243,643,352184
05/10/2020,53500,53500,000,0,0
02/10/2020,53500,53500,000,157,83995
01/10/2020,53500,53500,269,54,291544
30/09/2020,52100,52100,-170,210,1108128
29/09/2020,53000,53000,-185,43,22932
28/09/2020,54000,54000,-074,100,54200
25/09/2020,54400,54400,-397,2500,13717425
24/09/2020,56650,56650,000,0,0
23/09/2020,56650,56650,000,0,0
22/09/2020,56650,56650,000,0,0
