date,closing,adjusted,evolution,quantity,volume
03/12/2020,15260,15027,000,22470,3468236
02/12/2020,15260,15027,-072,2575,39341945
01/12/2020,15370,15135,-084,1898,2916501
30/11/2020,15500,15263,131,23582,3652116
27/11/2020,15300,15066,-065,6788,10431982
26/11/2020,15400,15165,-128,6545,101519175
25/11/2020,15600,15362,097,22828,3528846
24/11/2020,15450,15214,039,10993,169771985
23/11/2020,15390,15155,267,13104,198101005
20/11/2020,14990,14761,197,81791,122068795
19/11/2020,14700,14475,138,6220,908459
17/11/2020,14500,14278,069,4298,619887
16/11/2020,14400,14180,021,913,131472
13/11/2020,14370,14150,049,51833,73603694
12/11/2020,14300,14082,-049,9157,1309580
11/11/2020,14370,14150,049,1330,1886928
10/11/2020,14300,14082,178,2262,322693
09/11/2020,14050,13835,369,9197,128373925
05/11/2020,13550,13343,037,13815,18718725
04/11/2020,13500,13294,000,3742,507719
03/11/2020,13500,13294,-074,5297,719976
02/11/2020,13600,13392,-145,3705,49801185
28/10/2020,13800,13589,-072,300,41400
27/10/2020,13900,13688,080,35968,4964342
26/10/2020,13790,13579,215,177,2435905
23/10/2020,13500,13294,139,2523,33889125
22/10/2020,13315,13112,125,37050,493566555
21/10/2020,13150,12949,038,460,60490
20/10/2020,13100,12900,023,1830,238929
19/10/2020,13070,12870,-106,934,1233465
16/10/2020,13210,13008,000,12203,16120043
15/10/2020,13210,13008,-127,10903,144017705
14/10/2020,13380,13176,292,6316,84007985
13/10/2020,13000,12801,000,1381,179530
12/10/2020,13000,12801,-069,6160,800875
09/10/2020,13090,12890,069,70,9165
08/10/2020,13000,12801,000,3006,3908189
07/10/2020,13000,12801,000,8886,1155180
06/10/2020,13000,12801,000,12845,16690859
05/10/2020,13000,12801,000,380,49400
02/10/2020,13000,12801,078,2205,28654545
01/10/2020,12900,12703,238,89,11481
30/09/2020,12600,12407,000,29,3654
29/09/2020,12600,12407,149,4497,5663391
28/09/2020,12415,12225,012,43,53514
25/09/2020,12400,12211,000,3748,46516575
24/09/2020,12400,12211,-313,10217,128099595
23/09/2020,12800,12604,-116,99,126144
22/09/2020,12950,12752,000,0,0
21/09/2020,12950,12752,189,22,2849
18/09/2020,12710,12516,004,1845,23463085
17/09/2020,12705,12511,-074,12158,154516545
16/09/2020,12800,12604,-078,2414,3089999
15/09/2020,12900,12703,000,613,79165
14/09/2020,12900,12703,082,1000,12976195
11/09/2020,12795,12600,-158,36187,463642205
10/09/2020,13000,12801,078,616,80080
09/09/2020,12900,12703,-039,1992,25720615
08/09/2020,12950,12752,-189,75000,97126145
07/09/2020,13200,12998,233,297,38616
04/09/2020,12900,12703,-077,8835,114062485
03/09/2020,13000,12801,054,497,646093
02/09/2020,12930,12732,-100,25743,3326230
01/09/2020,13060,12860,046,13287,17462574
31/08/2020,13000,12801,081,13012,1696570
28/08/2020,12895,12698,-004,5452,703124
27/08/2020,12900,12703,-077,11211,14476269
26/08/2020,13000,12801,-367,10753,1407225
25/08/2020,13495,13289,-150,1388,187718
24/08/2020,13700,13491,000,1054,14442135
19/08/2020,13700,13491,-051,7375,10120851
18/08/2020,13770,13560,-022,2209,3046833
17/08/2020,13800,13589,-011,217,2995185
13/08/2020,13815,13604,044,299,4203955
12/08/2020,13755,13545,-347,1069,14856895
11/08/2020,14250,14032,319,14,1995
10/08/2020,13810,13599,345,126,174626
07/08/2020,13850,13638,-072,135,187175
06/08/2020,13950,13737,138,407,567765
05/08/2020,13760,13550,004,11831,16327147
04/08/2020,13755,13545,-175,960,13241685
03/08/2020,14000,13786,000,0,0
29/07/2020,14000,13786,317,22,3080
28/07/2020,13570,13363,-202,28602,39210732
27/07/2020,13850,13638,-072,20300,2811405
24/07/2020,13950,13737,-169,240,33549
23/07/2020,14190,13973,136,6237,8693719
22/07/2020,14000,13786,000,16498,2309720
21/07/2020,14000,13786,029,650,912415
20/07/2020,13960,13747,-099,36,50446
17/07/2020,14100,13885,-070,1635,232935
16/07/2020,14200,13983,071,19405,27462178
15/07/2020,14100,13885,273,20376,2873016
14/07/2020,13725,13515,-196,560,7824585
13/07/2020,14000,13786,000,0,0
10/07/2020,14000,13786,-244,1987,2797565
09/07/2020,14350,14131,035,280,399955
08/07/2020,14300,14082,000,122,17382
07/07/2020,14300,14082,000,5677,811706
06/07/2020,14300,14082,000,10597,1515371
03/07/2020,14300,14082,214,675,96408
02/07/2020,14000,13786,000,10439,146146125
01/07/2020,14000,13786,000,6223,87129595
30/06/2020,14000,13786,-043,20406,28570221
29/06/2020,14060,13845,-133,13836,1970253
26/06/2020,14250,14032,-179,117272,167452315
25/06/2020,14510,14288,-007,1387,2021607
24/06/2020,14520,14298,-089,1628,2373667
23/06/2020,14650,14426,-233,3837,5674216
22/06/2020,15000,14771,274,4419,6539368
19/06/2020,14600,14377,167,56919,825794725
18/06/2020,14360,14141,-205,180537,260159509
17/06/2020,14660,14436,397,4188,6139608
16/06/2020,14100,13885,144,300,42200
15/06/2020,13900,13688,072,200,27800
12/06/2020,13800,13589,-058,599,82662
11/06/2020,13880,13668,-014,27695,3844044
10/06/2020,13900,13688,000,41297,5740283
09/06/2020,13900,13688,-068,91704,127461214
08/06/2020,13995,13781,-004,12275,17197437
05/06/2020,14000,13786,-151,79785,1121308275
04/06/2020,14215,13998,011,34960,50585884
03/06/2020,14200,13983,327,2644,37271275
02/06/2020,13750,13540,110,4060,556255
01/06/2020,13600,13392,074,210,28370
29/05/2020,13500,13294,000,2583,3477665
28/05/2020,13500,13294,030,4051,5553145
27/05/2020,13460,13254,056,115359,15529348
26/05/2020,13385,13181,304,47642,629311865
